LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtQual,BsmtExposure,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,KitchenQual,Fireplaces,GarageCars,GarageArea,OpenPorchSF,SalePrice
11911,Gilbert,6,5,2005,2005,Gd,Av,0,684,684,876,1560,2,Gd,1,2,400,38,174000
3951,Somerst,6,5,2009,2009,Gd,Av,0,612,612,612,1224,2,Gd,0,2,528,234,164500
8470,IDOTRR,3,2,1915,1982,TA,No,0,1013,1013,0,1526,1,Fa,0,0,0,0,85000
8070,CollgCr,4,5,1994,1995,Gd,No,588,990,990,0,990,1,TA,0,0,0,0,123600
7200,NAmes,4,5,1950,1950,NA,NA,0,0,1040,0,1040,1,TA,0,2,420,29,109900
8500,NAmes,5,3,1961,1961,TA,No,600,1235,1235,0,1235,1,TA,0,2,480,0,98600
13360,Crawfor,5,7,1921,2006,Gd,No,713,876,964,0,964,1,TA,0,2,432,0,163500
7200,OldTown,6,6,1910,1998,TA,Mn,1046,1214,1260,1031,2291,2,TA,1,2,506,0,133900
9337,CollgCr,6,5,1997,1997,Gd,No,648,824,905,881,1786,2,Gd,0,2,684,162,204750
9765,Gilbert,6,8,1993,1993,Gd,No,310,680,680,790,1470,2,TA,1,2,420,63,185000
10264,CollgCr,7,5,1999,1999,Gd,Av,1162,1588,1588,0,1588,2,Gd,0,2,472,29,214000
10921,Edwards,4,5,1965,1965,TA,No,520,960,960,0,960,1,TA,0,1,432,0,94750
10625,Edwards,5,5,1920,1950,TA,No,108,458,835,0,835,1,TA,0,1,366,0,83000
9320,NAmes,4,5,1959,1959,TA,No,569,950,1225,0,1225,1,TA,0,0,0,0,128950
10603,NWAmes,6,7,1977,2001,TA,Mn,1200,1610,1610,0,1610,2,Gd,2,2,480,68,205000
9206,SawyerW,6,5,1985,1985,Gd,No,0,741,977,755,1732,2,Gd,1,2,476,46,178000
7018,SawyerW,5,5,1979,1979,NA,NA,0,0,1535,0,1535,2,TA,0,2,410,0,118964
10402,CollgCr,7,5,2009,2009,Gd,No,0,1226,1226,0,1226,2,Gd,0,3,740,36,198900
7758,IDOTRR,7,4,1931,1950,TA,No,224,1040,1226,592,1818,1,TA,2,1,240,0,169500
9375,Somerst,8,5,2003,2004,Ex,No,0,1053,1053,939,1992,2,Gd,1,2,648,45,250000
10800,OldTown,4,7,1885,1995,Fa,No,0,641,1047,0,1047,1,TA,0,1,273,0,100000
6000,OldTown,5,5,1948,1950,TA,No,104,789,789,0,789,1,TA,0,1,250,0,115000
8500,IDOTRR,5,7,1919,2005,TA,No,0,793,997,520,1517,2,Fa,0,0,0,0,115000
11751,NWAmes,6,6,1977,1977,Gd,No,705,1844,1844,0,1844,2,TA,1,2,546,122,190000
9525,Edwards,6,4,1954,1972,TA,No,444,994,1216,639,1855,2,TA,0,1,325,0,136900
7750,Gilbert,7,5,2000,2000,Gd,No,250,384,774,656,1430,2,TA,1,2,400,0,180000
9965,CollgCr,7,5,2007,2007,Ex,Av,984,1264,1282,1414,2696,2,Ex,1,3,792,184,383970
21000,Crawfor,6,5,1953,1953,Gd,Mn,35,1809,2259,0,2259,2,Gd,2,2,450,120,217000
7259,Crawfor,6,8,1945,2002,TA,No,774,1028,1436,884,2320,2,Gd,1,1,180,0,259500
3230,Somerst,6,5,1999,1999,Gd,No,419,729,729,729,1458,2,TA,1,2,440,32,176000
11616,Sawyer,5,5,1962,1962,TA,No,170,1092,1092,0,1092,1,TA,1,1,288,20,139000
8536,Edwards,5,5,2006,2007,Gd,No,0,1125,1125,0,1125,1,TA,0,2,430,64,155000
12376,SawyerW,7,5,1990,1990,Gd,Mn,1470,1673,1699,1523,3222,3,Gd,2,3,594,0,320000
8461,CollgCr,6,5,2005,2006,Gd,No,0,728,728,728,1456,2,Gd,1,2,390,24,163990
21453,ClearCr,6,5,1969,1969,TA,Gd,938,938,988,0,988,1,TA,2,2,540,130,180000
6060,IDOTRR,4,5,1939,1950,TA,No,0,732,772,351,1123,1,TA,0,1,264,0,100000
9464,NAmes,6,7,1958,1958,TA,No,570,1080,1080,0,1080,1,TA,0,1,288,0,136000
7892,SawyerW,6,5,1993,1993,Gd,No,300,1199,1199,0,1199,2,Gd,0,2,530,63,153900
17043,NWAmes,6,5,1979,1998,Gd,No,0,1362,1586,0,1586,2,TA,1,2,435,0,181000
6780,IDOTRR,6,8,1935,1982,TA,Av,490,520,520,0,754,1,TA,0,0,0,0,84500
4928,NPkVill,6,5,1976,1976,Gd,No,120,1078,958,0,958,2,TA,1,2,440,205,128000
4388,OldTown,5,7,1930,1950,TA,No,116,672,840,0,840,1,TA,1,0,0,0,87000
7590,NAmes,6,5,1966,1966,TA,No,512,660,660,688,1348,1,TA,1,2,453,108,155000
8973,NAmes,5,7,1958,1991,TA,No,567,1008,1053,0,1053,1,Ex,0,2,750,80,150000
14200,NAmes,7,6,1966,1966,TA,No,445,924,1216,941,2157,2,Gd,2,2,487,66,226000
12224,Gilbert,6,5,2000,2000,Gd,No,695,992,1022,1032,2054,2,Gd,1,2,390,48,244000
7388,NAmes,5,6,1959,2002,TA,No,405,1063,1327,0,1327,1,Gd,0,2,624,0,150750
6853,Timber,8,5,2001,2002,Ex,No,1005,1267,1296,0,1296,2,Gd,0,2,471,25,220000
10335,Sawyer,5,6,1968,1993,TA,No,570,1461,1721,0,1721,2,TA,1,2,440,96,180000
10400,NWAmes,7,6,1970,1970,TA,No,0,1304,1682,0,1682,2,TA,1,2,530,0,174000
10355,NAmes,5,5,1967,1967,TA,No,695,1214,1214,0,1214,2,TA,1,1,318,111,143000
11070,Mitchel,7,5,1988,1989,TA,No,0,1907,1959,0,1959,3,TA,0,3,766,0,171000
9066,CollgCr,8,5,1999,2000,Gd,Mn,668,1004,1004,848,1852,2,Gd,2,3,660,106,230000
15426,CollgCr,6,5,1997,1997,Gd,No,821,928,928,836,1764,2,Gd,0,2,470,99,231500
10500,NAmes,4,5,1971,1971,TA,No,432,864,864,0,864,1,TA,1,0,0,0,115000
11645,CollgCr,7,5,2005,2005,Gd,Av,1300,1734,1734,0,1734,2,Gd,0,2,660,24,260000
8520,NAmes,5,4,1952,1952,TA,No,507,910,910,475,1385,2,TA,0,2,720,0,166000
10335,CollgCr,7,5,1999,1999,Gd,Gd,679,1490,1501,0,1501,2,Gd,0,2,577,29,204000
9100,Sawyer,5,5,1963,1963,TA,No,1332,1728,1728,0,1728,2,TA,0,2,504,0,125000
2522,Edwards,6,5,2004,2006,Gd,No,0,970,970,739,1709,2,Gd,0,2,380,40,130000
6120,BrkSide,5,7,1931,1993,TA,No,209,715,875,0,875,1,TA,0,1,180,0,105000
9505,Gilbert,7,5,2001,2001,Gd,No,0,884,884,1151,2035,2,Gd,1,2,434,48,222500
7500,SawyerW,7,5,2004,2005,Gd,No,680,1080,1080,0,1080,1,Gd,0,0,0,0,141000
6240,BrkSide,5,4,1936,1950,Gd,No,0,896,896,448,1344,1,TA,0,1,240,114,115000
10356,CollgCr,5,6,1975,1975,TA,Av,716,969,969,0,969,1,TA,0,2,440,0,122000
13891,NridgHt,8,5,2007,2008,Ex,Gd,1400,1710,1710,0,1710,2,Gd,1,3,866,102,372402
14803,NWAmes,6,5,1971,1971,TA,No,416,825,1097,896,1993,2,TA,1,2,495,66,190000
13500,ClearCr,6,7,1960,1975,Gd,Gd,429,1602,1252,0,1252,1,TA,1,2,564,0,235000
11340,OldTown,6,5,1923,1950,TA,No,0,1200,1200,0,1200,1,TA,0,1,312,0,125000
9600,Edwards,6,5,1924,1950,TA,No,0,572,572,524,1096,1,TA,0,0,0,8,79000
7200,NAmes,5,7,1950,1950,NA,NA,0,0,1040,0,1040,1,TA,0,2,625,0,109500
12003,Timber,8,5,2009,2010,Ex,No,0,774,774,1194,1968,2,Ex,1,3,680,75,269500
12552,Somerst,7,5,2004,2005,Gd,No,222,991,991,956,1947,2,Gd,1,2,678,136,254900
19378,Gilbert,7,5,2005,2006,Gd,Mn,57,1392,1392,1070,2462,2,Gd,1,2,576,132,320000
11120,Veenker,6,6,1984,1984,Gd,No,660,1232,1232,0,1232,2,TA,0,2,516,0,162500
13688,NridgHt,9,5,2003,2004,Ex,Av,1016,1572,1572,1096,2668,2,Ex,2,3,726,0,412500
12182,NridgHt,7,5,2005,2005,Gd,Mn,1201,1541,1541,0,1541,2,Gd,1,2,532,70,220000
5500,OldTown,4,6,1956,1956,TA,No,0,882,882,0,882,1,TA,0,0,0,0,103200
5400,OldTown,6,7,1926,2004,TA,Mn,370,1149,1149,467,1616,2,Gd,0,1,216,0,152000
10106,Edwards,5,7,1940,1999,TA,No,351,644,808,547,1355,2,TA,0,0,0,0,127500
10708,ClearCr,5,5,1955,1993,TA,No,379,1617,1867,0,1867,1,TA,3,1,303,0,190000
10562,NridgHt,8,5,2007,2007,Ex,No,1288,1582,1610,551,2161,1,Ex,1,3,789,120,325624
8244,Gilbert,7,5,2004,2004,Gd,No,0,840,840,880,1720,2,Gd,1,2,440,48,183500
16669,Timber,8,6,1981,1981,Gd,No,0,1686,1707,0,1707,2,TA,1,2,511,64,228000
12358,OldTown,5,6,1941,1950,TA,No,360,720,854,0,1382,1,TA,0,2,660,0,128500
31770,NAmes,6,5,1960,1960,TA,Gd,639,1080,1656,0,1656,1,TA,2,2,528,62,215000
5306,StoneBr,7,7,1987,1987,Gd,No,495,1064,1064,703,1767,2,Gd,1,2,504,35,239000
10197,NAmes,6,5,1961,1961,TA,No,288,1362,1362,0,1362,1,TA,1,2,504,20,163000
12416,Timber,6,5,1986,1986,Gd,No,1398,1606,1651,0,1651,2,TA,1,2,616,0,184000
12615,Edwards,6,7,1950,2001,TA,Av,477,1202,2158,0,2158,2,Gd,1,2,576,29,243000
10029,ClearCr,6,5,1988,1989,Gd,No,831,1151,1164,896,2060,2,TA,1,2,521,228,211000
13650,Sawyer,5,5,1958,1958,TA,No,57,1052,1252,668,1920,2,Gd,1,2,451,0,172500
17423,StoneBr,9,5,2008,2009,Ex,No,1904,2216,2234,0,2234,2,Ex,1,3,1166,60,501837
8520,OldTown,5,6,1923,2006,TA,No,0,968,968,0,968,1,TA,0,2,480,0,100000
2117,Somerst,6,5,2000,2000,Gd,No,436,756,769,756,1525,2,Gd,1,2,440,0,177000
7588,Crawfor,7,6,1920,1950,Fa,No,352,793,901,901,1802,1,TA,1,1,216,0,200100
9060,Edwards,5,6,1957,2006,NA,NA,0,0,1340,0,1340,1,TA,1,1,252,0,120000
11426,OldTown,7,5,2003,2003,Gd,No,0,1362,1362,720,2082,2,Gd,0,2,484,238,200000
7438,BrkSide,5,8,1908,1991,Fa,No,0,504,936,316,1252,1,TA,0,2,576,0,127000
22950,OldTown,10,9,1892,1993,TA,Mn,0,1107,1518,1518,3608,2,Ex,2,3,840,260,475000
9947,Mitchel,7,5,1990,1991,Gd,Av,611,1188,1217,0,1217,2,Gd,0,2,497,27,173000
10410,OldTown,5,7,1916,1987,Fa,No,0,660,808,704,1656,2,TA,0,1,180,0,135000
7018,SawyerW,5,5,1979,1979,Gd,Av,1086,1086,1224,0,1224,0,TA,2,2,528,0,153337
4923,StoneBr,8,5,2001,2002,Ex,Av,1153,1593,1593,0,1593,1,Ex,1,2,682,120,286000
10570,Crawfor,8,8,1932,1994,Gd,No,297,853,1549,1178,2727,2,Gd,2,2,440,74,315000
7472,NAmes,7,9,1972,2004,TA,No,626,725,725,754,1479,1,Gd,0,2,484,32,184000
9017,CollgCr,7,5,1999,1999,Gd,Av,560,1431,1431,0,1431,2,Gd,0,2,666,35,192000
2522,Edwards,7,5,2004,2004,Gd,No,0,970,970,739,1709,2,Gd,0,2,380,40,130000
7180,CollgCr,5,7,1972,1972,TA,Av,390,864,864,0,864,1,TA,0,1,352,0,127000
2280,NPkVill,6,6,1976,1976,Gd,No,566,855,855,601,1456,2,TA,1,2,440,0,148500
9416,Somerst,7,5,2007,2007,Ex,No,1126,1726,1726,0,1726,2,Ex,1,3,786,138,311872
25419,NAmes,8,4,1918,1990,TA,No,1036,1360,1360,1360,3112,2,Gd,1,2,795,16,235000
5520,OldTown,6,6,1912,1950,TA,No,0,755,929,929,2229,1,TA,0,0,0,198,104000
9591,NridgHt,8,5,2004,2005,Ex,Av,1088,1713,1713,0,1713,2,Ex,1,3,856,26,274900
8546,Edwards,4,5,2003,2004,Gd,No,0,1121,1121,0,1121,2,TA,0,2,440,64,140000
10125,Mitchel,6,6,1977,1977,TA,No,641,1196,1279,0,1279,2,TA,2,2,473,83,171500
7000,OldTown,6,6,1924,1950,Fa,No,617,617,865,445,1310,2,TA,0,1,398,0,112000
4438,CollgCr,6,5,2004,2004,Gd,Av,662,848,848,0,848,1,Gd,1,2,420,0,149000
3500,OldTown,5,7,1947,1950,TA,No,312,720,720,564,1284,1,TA,0,1,240,35,110000
11851,Gilbert,7,5,1990,1990,Gd,No,0,1424,1442,0,1442,2,TA,0,2,500,34,180500
13673,Sawyer,5,5,1962,1962,TA,No,0,1140,1696,0,1696,1,TA,1,1,349,30,143900
12493,NAmes,4,5,1960,1960,TA,No,419,1100,1100,0,1100,1,TA,1,1,312,0,141000
14364,SawyerW,7,5,1988,1989,Gd,Gd,1065,1157,1180,882,2062,2,TA,1,2,454,55,277000
8250,NAmes,6,7,1964,1964,Gd,No,787,1092,1092,0,1092,1,TA,0,2,504,0,145000
5604,Edwards,5,6,1925,1950,TA,No,468,864,864,0,864,1,TA,0,0,0,0,98000
10420,Edwards,6,5,2009,2009,Gd,Mn,36,1212,1212,0,1212,2,Gd,0,2,460,22,186000
8640,Somerst,7,5,2009,2009,Gd,No,822,900,932,920,1852,2,Gd,1,2,644,108,252678
13568,CollgCr,5,5,1995,1995,Gd,No,716,990,990,0,990,1,TA,0,2,576,0,156000
10900,CollgCr,6,7,1977,1977,Gd,No,378,689,689,703,1392,1,TA,0,1,299,36,161750
10011,NAmes,5,6,1957,1996,TA,No,360,1070,1236,0,1236,1,Gd,1,1,447,0,134450
8450,CollgCr,7,5,2004,2004,Gd,Mn,946,1436,1436,0,1436,2,Gd,0,2,484,98,210000
9906,OldTown,4,4,1925,1950,TA,No,0,686,810,518,1328,1,TA,0,1,210,172,107000
15660,Crawfor,7,9,1939,2006,TA,No,341,798,1137,817,1954,1,Gd,2,2,431,119,311500
3010,Blmngtn,7,5,2005,2006,Gd,Av,16,1248,1248,0,1248,2,Gd,0,2,438,0,167240
8990,CollgCr,7,5,2006,2006,Gd,Mn,0,1498,1498,0,1498,2,Gd,0,2,675,33,204900
8068,Gilbert,6,5,2002,2002,Gd,No,0,1010,1010,1257,2267,2,Gd,1,2,390,46,200000
11475,NWAmes,6,6,1975,1975,Gd,No,550,713,811,741,1552,2,TA,1,2,434,208,179900
10500,NAmes,4,6,1971,1971,TA,No,524,864,864,0,864,1,TA,0,2,576,0,97000
13472,NridgHt,10,5,2003,2003,Ex,Gd,56,2392,2392,0,2392,2,Ex,1,3,968,105,386250
1680,BrDale,5,5,1971,1971,TA,No,0,630,630,672,1302,2,TA,0,1,280,0,112000
9950,NoRidge,7,5,1995,1995,Gd,No,565,1203,1214,1306,2520,2,Gd,1,3,721,114,290000
1869,BrDale,6,6,1970,1970,TA,No,321,483,483,504,987,1,TA,0,1,280,0,106000
8521,Sawyer,5,5,1967,1967,TA,No,842,912,912,0,912,1,TA,1,1,336,0,125000
3182,Blmngtn,7,5,2005,2006,Gd,Av,16,1373,1555,0,1555,2,Gd,1,2,430,20,192500
8760,NAmes,6,6,1959,1959,TA,No,0,1194,1194,0,1194,1,TA,0,1,312,0,148000
15138,NoRidge,8,5,1995,1996,Gd,No,689,1462,1490,1304,2794,2,Ex,1,3,810,146,403000
1680,BrDale,6,5,1972,1972,TA,No,0,483,483,504,987,1,TA,1,1,288,0,94500
10650,CollgCr,5,6,1976,1976,TA,Av,182,894,894,0,894,1,TA,0,1,308,0,128200
7851,Gilbert,6,5,2002,2002,Gd,No,625,860,860,1100,1960,2,Gd,2,2,440,48,216500
1680,BrDale,6,3,1971,1971,TA,No,358,483,483,504,987,1,TA,0,1,264,0,89500
8773,CollgCr,7,5,2004,2004,Gd,Av,24,1414,1414,0,1414,2,Gd,0,2,494,105,185500
9453,SawyerW,7,7,1993,2003,Gd,No,402,996,1014,730,1744,2,Gd,0,2,457,70,194500
12030,NridgHt,8,5,2007,2007,Ex,No,0,1694,1694,0,1694,2,Gd,0,3,818,228,318000
8741,Edwards,6,4,1945,1950,TA,No,94,735,798,689,1487,1,TA,1,1,220,140,113000
9000,Somerst,8,5,2008,2008,Gd,Av,1078,1566,1566,0,1566,2,Gd,0,2,750,168,262500
3880,OldTown,5,9,1945,1997,TA,No,329,686,866,0,866,1,Gd,0,0,0,42,110500
5000,OldTown,5,4,1900,1950,TA,No,0,540,889,551,1440,1,TA,0,1,352,0,79000
10762,SawyerW,6,6,1980,1980,Gd,No,0,626,626,591,1217,1,TA,1,1,288,28,120000
8880,SawyerW,7,5,1994,2002,Gd,No,695,948,1222,888,2110,2,Gd,2,2,463,130,205000
10400,NWAmes,7,5,1988,1988,Gd,Av,929,1845,1872,0,1872,2,TA,1,2,604,39,241500
9142,OldTown,6,8,1910,1950,Fa,No,0,1020,908,1020,1928,2,Fa,0,1,440,60,137000
11310,NAmes,6,5,1954,1954,TA,No,0,1367,1375,0,1375,1,TA,1,2,451,30,140000
11317,CollgCr,7,5,2003,2003,Gd,No,0,840,840,828,1668,2,Gd,0,2,500,68,180000
159000,ClearCr,6,7,1958,2006,Gd,Gd,697,1444,1444,700,2144,2,Gd,2,2,389,98,277000
5350,BrkSide,3,2,1940,1966,TA,No,0,728,1306,0,1306,1,Fa,0,0,0,0,76500
4750,Crawfor,8,5,2006,2007,Gd,Gd,1573,1573,1625,0,1625,2,Gd,1,2,538,0,235000
8366,SawyerW,6,5,2004,2004,Gd,No,0,798,798,842,1640,2,Gd,0,2,520,45,173000
9350,NAmes,6,7,1964,1991,Gd,Gd,270,1302,1302,0,1302,2,Gd,0,1,309,0,158000
8400,NAmes,5,6,1957,1957,TA,No,922,1314,1314,0,1314,1,TA,0,1,294,0,145000
8738,Gilbert,7,5,1999,1999,Gd,No,0,975,1005,1286,2291,2,Gd,1,2,429,0,230000
8791,Somerst,6,5,2003,2003,Gd,No,503,864,864,864,1728,2,Gd,0,2,673,56,207500
